abacavir,N=c1[nH]c(=NC2CC2)c2ncn(C3C=CC(CO)C3)c2[nH]1,-2.524,0.382,-0.556,0.0,0.996,0.026,0.003,0.004,-4.801,1.0703863154049031e-05,0.656,21.962535858154297%,0.889,65.81258392333984%,0.014,0.319,0.077,0.032,0.02,0.003,0.001,0.025,0.172,0.417,9.573,0.849,0.125,0.993,0.972,0.298,0.877,0.919,0.603,0.93,0.003,0.015,0.97,-0.301,2.312,3.352,5.114,0.001,0.003,0.189,0.009,0.121,0.109,0.004,0.516,0.021,0.004,0.046,0.102,286.15,278.063,1.029,7,4,105.84,3,4,9,7,0,20,0.15,2,1,0,0,0,0,0,0,0,0.611,4.622,0.5,71.429,0.597,0,0,0,0,Accepted,Accepted,Accepted,Accepted
lamivudine,N=c1ccn(C2CSC(CO)O2)c(=O)[nH]1,-1.037,-1.39,-1.9,0.002,0.003,0.769,0.064,0.24,-5.52,0.00013525655958801508,0.636,14.08578872680664%,0.823,80.85529327392578%,0.028,0.778,0.069,0.077,0.006,0.156,0.011,0.25,0.006,0.095,4.71,0.858,0.007,0.959,0.991,0.038,0.032,0.014,0.122,0.84,0.003,0.018,0.018,0.28,1.546,2.379,4.096,0.004,0.002,0.007,0.021,0.085,0.007,0.007,0.469,0.015,0.013,0.007,0.885,229.05,199.772,1.147,6,3,91.1,2,2,6,7,0,13,0.154,2,0,0,0,0,0,0,0,1,0.621,4.401,0.5,38.5,1.245,2,0,0,0,Accepted,Accepted,Accepted,Accepted
zidovudine,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,-2.319,-0.263,-0.585,0.004,0.008,0.009,0.003,0.079,-5.788,3.421570363570936e-05,0.663,10.052000045776367%,0.7,80.44255065917969%,0.006,0.11,0.019,0.838,0.015,0.843,0.002,0.095,0.009,0.752,4.425,0.932,0.002,0.928,0.982,0.993,0.003,0.02,0.065,0.929,0.003,0.014,0.92,0.133,1.984,3.094,3.824,0.004,0.001,0.018,0.002,0.06,0.006,0.001,0.932,0.008,0.001,0.029,0.001,267.1,241.366,1.107,9,2,133.08,3,2,6,9,0,15,0.2,3,1,1,0,0,0,0,3,2,0.445,3.849,0.6,45.5,0.894,1,1,0,1,Accepted,Accepted,Accepted,Accepted
abiraterone,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,-4.617,4.387,4.808,0.962,0.003,0.006,0.675,0.132,-4.627,1.8459384591551498e-05,0.597,95.60633087158203%,1.953,2.39136004447937%,0.378,0.5,0.458,0.91,0.412,0.378,0.098,0.676,0.912,0.736,17.035,0.098,0.571,0.462,0.03,0.017,0.053,0.887,0.265,0.612,0.003,0.011,0.919,2.205,2.779,2.921,4.265,0.027,0.025,0.002,0.935,0.09,0.855,0.413,0.678,0.013,0.471,0.943,0.236,349.24,387.483,0.901,2,1,33.12,1,5,17,2,0,26,0.038,6,0,0,0,0,0,0,0,1,0.689,4.095,0.625,102.667,1.818,0,0,0,0,Accepted,Rejected,Rejected,Accepted
acamprosate,CC(=O)NCCCS(=O)(=O)O,-0.174,-1.9,-2.222,0.0,0.004,0.985,0.999,0.975,-5.601,3.3072486985474825e-05,0.977,8.234578132629395%,0.645,85.35820007324219%,0.004,0.108,0.023,0.062,0.02,0.362,0.005,0.115,0.004,0.035,2.669,0.629,0.038,0.061,0.027,0.056,0.008,0.023,0.094,0.01,0.008,0.203,0.042,0.119,1.82,2.494,1.725,0.006,0.002,0.006,0.003,0.349,0.007,0.004,0.086,0.006,0.006,0.002,0.006,181.04,157.067,1.153,5,2,83.47,5,0,0,6,0,3,1.667,0,1,0,0,0,0,1,1,0,0.448,2.081,0.8,0.0,-0.59,1,0,0,0,Accepted,Accepted,Accepted,Rejected
aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.491,3.206,4.133,0.001,0.004,0.004,0.001,0.001,-4.772,8.11904392321594e-05,0.223,98.43206024169922%,0.216,0.8914262056350708%,0.351,0.142,0.164,0.405,0.786,0.973,0.003,0.244,0.239,0.258,2.06,0.924,0.019,0.826,0.987,0.052,0.809,0.023,0.737,0.311,0.004,0.037,0.115,0.495,3.712,4.49,3.761,0.02,0.149,0.82,0.021,0.13,0.02,0.985,0.289,0.014,0.197,0.203,0.024,353.02,323.667,1.091,5,2,75.63,7,2,6,7,0,14,0.5,0,1,1,0,0,3,0,0,1,0.77,2.056,0.125,13.0,-0.819,1,0,0,0,Accepted,Accepted,Rejected,Accepted
acetaminophen,CC(=O)Nc1ccc(O)cc1,-1.454,0.789,0.608,0.0,0.461,0.009,0.019,0.641,-4.482,9.14210522751091e-06,0.83,14.86292839050293%,0.923,70.54476928710938%,0.29,0.72,0.103,0.26,0.024,0.856,0.039,0.67,0.037,0.373,8.547,0.907,0.02,0.18,0.385,0.321,0.043,0.059,0.593,0.624,0.031,0.838,0.039,0.518,2.368,2.859,3.374,0.032,0.006,0.667,0.005,0.257,0.013,0.002,0.1,0.206,0.013,0.318,0.144,151.06,156.399,0.966,3,2,49.33,2,1,6,3,0,7,0.286,0,4,0,0,0,5,0,3,0,0.595,1.407,0.125,6.0,-0.642,2,0,0,0,Accepted,Accepted,Accepted,Rejected
acetazolamide,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-1.55,-0.306,0.197,0.004,0.076,0.005,0.005,0.001,-5.976,7.88629495218629e-06,0.961,32.99608612060547%,0.719,72.44539642333984%,0.019,0.87,0.016,0.056,0.009,0.389,0.002,0.064,0.004,0.18,1.099,0.496,0.001,0.981,0.995,0.066,0.008,0.03,0.041,0.938,0.003,0.214,0.044,0.198,1.639,2.263,2.906,0.008,0.007,0.011,0.002,0.042,0.005,0.005,0.022,0.004,0.002,0.027,0.002,221.99,168.65,1.316,7,3,118.27,2,1,5,9,0,9,0.222,0,0,0,0,0,0,0,0,0,0.605,3.737,0.25,9.0,-1.624,5,0,0,0,Accepted,Accepted,Accepted,Accepted
acetylcysteine,CC(=O)NC(CS)C(=O)O,-0.688,-0.913,-0.402,0.001,0.004,0.025,0.967,0.241,-6.19,0.00020956885418854654,0.223,10.494434356689453%,0.272,84.40748596191406%,0.004,0.063,0.026,0.051,0.009,0.648,0.008,0.142,0.008,0.015,2.341,0.775,0.005,0.108,0.19,0.943,0.019,0.005,0.332,0.09,0.004,0.061,0.774,0.216,2.457,3.549,3.4,0.015,0.002,0.005,0.003,0.323,0.009,0.009,0.101,0.006,0.013,0.006,0.005,163.03,145.64,1.119,4,2,66.4,4,0,0,5,0,2,2.0,1,1,0,0,0,2,1,0,0,0.492,2.549,0.6,3.0,0.222,2,1,0,0,Accepted,Accepted,Accepted,Rejected
acitretin,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,-5.126,4.228,5.795,0.003,0.637,0.011,0.038,0.088,-4.796,2.372735798417125e-05,0.09,99.4786148071289%,0.986,1.4034078121185303%,0.203,0.915,0.069,0.891,0.267,0.823,0.107,0.899,0.008,0.6,1.309,0.753,0.402,0.95,0.035,0.926,0.395,0.915,0.962,0.501,0.003,0.283,0.875,1.104,4.216,5.44,5.551,0.04,0.065,0.507,0.701,0.119,0.4,0.011,0.896,0.026,0.514,0.511,0.882,326.19,368.495,0.885,3,1,46.53,6,1,6,3,0,11,0.545,0,2,2,0,1,3,4,0,0,0.579,2.908,0.286,11.0,1.376,1,1,0,0,Accepted,Rejected,Rejected,Accepted
